epoch,tr_loss,va_loss,score,sec,iou_bg,iou_road,iou_drainage
1,0.010503853743713893,0.007954439271347431,0.34863567118067323,1050.805112361908,0.9366941425252021,0.34863567118067323,0.48666268801039486
2,0.006436632448454602,0.007203406811411667,0.3743150236180533,559.6206486225128,0.9381519840348477,0.3743150236180533,0.5009959393296666
3,0.005391615900167223,0.006987035899173196,0.41543920609369045,564.9421396255493,0.9444130994221517,0.41543920609369045,0.47119011144715905
4,0.004784796460260906,0.006910069491638522,0.42562042867354244,567.407363653183,0.9456998027888202,0.42562042867354244,0.49831409588782694
5,0.004211715526207024,0.007176612878627166,0.4228490255306843,461.32721757888794,0.9438635829610573,0.4228490255306843,0.4889911059187118
6,0.0038647583651550753,0.007552681530530497,0.4176571658963295,688.3512096405029,0.9456211525311224,0.4176571658963295,0.49773680852647256
7,0.003542060730136275,0.0071398800757630325,0.41954326705413225,586.6764848232269,0.9462292241290243,0.41954326705413225,0.507468213946122
8,0.0032602493290028864,0.007848427449239463,0.4677612647997032,599.6834383010864,0.9533403572957821,0.4677612647997032,0.5304666935265601
9,0.0030070127100898323,0.008472910016487405,0.447531980711262,602.5041058063507,0.9510477290317507,0.447531980711262,0.47269738581623605
10,0.0028301306176746425,0.007839268665927334,0.4745576871059072,554.1794202327728,0.956441064534206,0.4745576871059072,0.5429133522966847
11,0.002657725471656082,0.007983169153075271,0.467545060250365,558.3229298591614,0.95474259205863,0.467545060250365,0.48879736190514617
12,0.0025214052122126728,0.007849101673781387,0.4865606668939747,547.4749848842621,0.9583108180530675,0.4865606668939747,0.5617436141358303
13,0.0023792525117237243,0.007864732929406976,0.5060283101744532,362.0016429424286,0.961025509897196,0.5060283101744532,0.560502877985829
14,0.002255550394002101,0.008452206007697112,0.5117643721386289,295.7910988330841,0.9613555243743184,0.5117643721386289,0.5529139201132804
15,0.002114007243155238,0.009616301595649825,0.5129351285791086,289.0844032764435,0.9616213281114443,0.5129351285791086,0.5454655220004248
16,0.0020044448041773894,0.009341622685740998,0.5192338158531182,288.7696166038513,0.9610241575756764,0.5192338158531182,0.5223297179766903
17,0.001924067397941178,0.00961738463862216,0.524210399571222,288.98135018348694,0.962658454836142,0.524210399571222,0.5364825449469762
18,0.0018392747523099076,0.009272816791615592,0.5335658014446298,291.55593180656433,0.9639981312862149,0.5335658014446298,0.5530786651876503
19,0.00176765757502788,0.009876707877312613,0.5285888429638341,289.2592463493347,0.9635920011085496,0.5285888429638341,0.5492295809559722
20,0.0016681580490851718,0.010538365703257845,0.5366408089118273,289.1179096698761,0.9639543553457496,0.5366408089118273,0.5403346294099488
21,0.001608440398735155,0.009395548769053283,0.5395845114218213,288.9276268482208,0.9643648628096505,0.5395845114218213,0.5671557466727808
22,0.0015544746741225585,0.01107077007333377,0.5444930058548568,289.6823990345001,0.9650263561002301,0.5444930058548568,0.5371199796975454
23,0.001500013607651876,0.010414674043337383,0.5552376111692111,288.6430354118347,0.9662138303843373,0.5552376111692111,0.5466663701181719
24,0.001444270569618805,0.010085273058933577,0.5615856179206972,289.1328890323639,0.9673720063604679,0.5615856179206972,0.5792924246135259
25,0.0014087252853330408,0.010819427231781004,0.5686940391964967,289.17032957077026,0.9681157117975027,0.5686940391964967,0.5715005278978038
26,0.001369756049492292,0.009673406267765819,0.5645085106665101,281.85611939430237,0.9678834481341737,0.5645085106665101,0.600134169257085
27,0.0013340436750253386,0.010288377606680965,0.5738687731184026,278.032279253006,0.9684062410323616,0.5738687731184026,0.575045831121716
28,0.0012894482705719651,0.010109504325148778,0.5789945747195839,278.2121298313141,0.9691884347361615,0.5789945747195839,0.5921657237402771
29,0.0012548741252179536,0.010336070701979646,0.5784192709591269,278.1830289363861,0.9692054005826017,0.5784192709591269,0.5915166927643675
30,0.001232219468583145,0.010366160112122694,0.5733516266947474,278.46441316604614,0.9684415908903239,0.5733516266947474,0.5878641014452746
31,0.0012096714954267158,0.010529830890927253,0.5794420182121892,278.11975169181824,0.968987299282125,0.5794420182121892,0.578673438138809
32,0.0011835682243912001,0.010937991023926837,0.5836910434414789,278.4513692855835,0.9693801063328273,0.5836910434414789,0.5915585739750998
33,0.0011718627962056857,0.010865754232083151,0.5870525009781856,278.34628105163574,0.969895011469322,0.5870525009781856,0.596060643196078
34,0.0011501596524100413,0.01082915628169913,0.5910432868439526,278.28870725631714,0.9699255134923345,0.5910432868439526,0.5901408299459455
35,0.0011389592414737574,0.0108798584717182,0.5941280423883668,279.1488995552063,0.9708185762761099,0.5941280423883668,0.5975918610740502
36,0.0011315429576170442,0.011156117182028124,0.5919044414210656,278.63389253616333,0.9702379959368281,0.5919044414210656,0.5888805009244398
37,0.0011163294332610855,0.01123213895588992,0.5935685594964412,278.93785429000854,0.9706166468978298,0.5935685594964412,0.5929400980514634
38,0.0011192601792985042,0.011345640267813352,0.5917628612231455,278.99431800842285,0.9699952103332716,0.5917628612231455,0.5857835378331165
39,0.0011153828437789485,0.011179716227863862,0.594242848257115,278.72921562194824,0.9704867215819265,0.594242848257115,0.5943902739288935
40,0.001108129594384595,0.011339611273516364,0.5938148600916737,278.45964765548706,0.9701991488049172,0.5938148600916737,0.5876593639047164
