epoch,tr_loss,val_road_iou,sec
1,0.12839859769915912,0.4042313248448087,325.46197056770325
2,0.05439527286390371,0.4428610830490121,318.879998922348
3,0.03814393613633436,0.4305355802331768,318.71568775177
4,0.031073014571595548,0.45571394239810087,318.7550070285797
5,0.02700538086138471,0.49673155490175297,318.8571398258209
6,0.023500536195760063,0.4944087950194661,318.855416059494
7,0.021287675063410744,0.5050950024748263,318.71194982528687
8,0.019315066217417038,0.5284742758091012,318.81538128852844
9,0.017956654713211107,0.5348594044331345,318.802485704422
10,0.01647244077288796,0.5289567072273086,318.79688692092896
11,0.014984828043805519,0.546567431691456,318.7479159832001
12,0.013729879520520735,0.5749762729038952,318.8077025413513
13,0.012795267541069232,0.5815123324596776,318.8303327560425
14,0.011742076900381067,0.5733838433133246,318.7953472137451
15,0.010823657594138145,0.578571048089504,318.69248127937317
16,0.010037656382608937,0.5922397546423468,318.6707398891449
17,0.009459988270980069,0.5915886144803013,318.70124316215515
18,0.008761739615027778,0.6048543182023923,318.73249316215515
19,0.008053900941132583,0.5894097530113674,318.80463695526123
20,0.00752951570181871,0.6070733340767472,321.5360140800476
21,0.006978531652164937,0.6113228532814289,323.4754228591919
22,0.006515547187057143,0.6216344109815604,321.60213327407837
23,0.006167488755378525,0.6268020206440531,318.7460675239563
24,0.00585215127463939,0.6291958193544944,318.6812012195587
25,0.005573987757740195,0.632193433069578,318.6667242050171
26,0.005406180027231171,0.6297057320666161,318.72757840156555
27,0.005304944139397911,0.6345684089762877,318.6747374534607
28,0.005140891611409276,0.6328394822705223,318.78677797317505
29,0.004994745670345181,0.6332579237067226,318.74169874191284
30,0.004947087156487309,0.6361252700454267,318.56858801841736
